name,description,image,color,price,category
Linen-blend Shorts High Waist,"Shorts in a woven viscose and linen blend. High waist with ruffle trim, elasticized waistband with drawstring, and mock fly. Diagonal side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff4%2Fd9%2Ff4d952b0f61ca7fdbaf105ae97cd01b59dcb2810.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],White/blue dotted,19.99,shorts
Pull-on Shorts,"Shorts in softly draped woven viscose fabric. Regular waist, elasticized waistband with drawstring, and side-seam pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcd%2F73%2Fcd733b9edce297032e734316870d4a4bd601944f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Beige/leaf print,12.99,shorts
Denim Paper-bag Shorts,"Shorts in thick cotton denim. High paper-bag waist with elasticized waistband, removable tie belt, and zip fly with buttons. Front pockets, back pockets, and sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F83%2F0d%2F830df104e26218689de8251e51747c5103b020ed.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,29.99,shorts
Mom Fit Denim Shorts,"5-pocket shorts in washed cotton denim with heavily distressed details. High waist, zip fly with button, and sewn foldover cuffs. Cotton content is partly recycled.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff2%2F69%2Ff269a23a2d255b7a348d1285c5fcb5557922ccd4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Dark denim blue,19.99,shorts
Cycling Shorts High Waist,Cycling shorts in stretch cotton jersey with a high waist and elasticized waistband.,//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F77%2F8a%2F778a35b5ae4897eb6b0a82bcf2c7345363aca1ef.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,5.99,shorts
Dress Shorts,"Shorts in woven fabric. High waist with pleats at front, covered elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Diagonal side pockets, mock back pockets, and wide legs. Pocket lining made from recycled polyester.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd0%2F04%2Fd004a2ddd30c5510fe55d4c915fef5184b055331.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Gray melange,34.99,shorts
Ribbed Cycling Shorts,"Cycling shorts in ribbed jersey. High waist and covered, elasticized waistband.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbd%2F7c%2Fbd7cf41b34e184d33ff25c530e07ad32b193d0a8.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Lime green,12.99,shorts
Sweatshorts,"Short, lightweight sweatshorts. Elasticized waistband with drawstring, side pockets, and rounded hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb9%2F61%2Fb96146930408766fe3e6dfd2eaa6a9261107f1e9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
Short Twill Shorts,"Short 5-pocket shorts in stretch cotton twill with a regular waist, zip fly, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2e%2Ffd%2F2efd80ee55f4ac4ffb57267a548b388b4867103d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
Crinkled Shorts,"Shorts in woven, crinkled viscose fabric. High waist with covered, elasticized waistband, decorative ties at front, and narrow ruffle trim at top.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcf%2Fbe%2Fcfbe4c3d1a11e8c4d5a57d424f01e07d6cd019e1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black/small flowers,17.99,shorts
Sweatshorts,"Short, lightweight sweatshorts with an elasticized drawstring waistband in jersey. Side pockets and rounded hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F8d%2F62%2F8d62291643ecd2085ecdf33be34462f06848ad1f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
Embrace High Bermuda Shorts,"5-pocket shorts in washed, stretch denim. High waist, zip fly with button, and slim legs with sewn foldover cuffs. Cotton content is partly recycled. Embrace – denim with smart stretch function that molds to body for a comfortable, flattering silhouette.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F57%2Fe6%2F57e6870eefe061aaff00ec44542d4850a256b2e3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,29.99,shorts
Paper-bag Shorts,"Shorts in airy woven fabric. High, paper bag waist with covered elasticized waistband, ruffle trim, and a zip fly with buttons. Leg pockets with flap.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fb4%2F38%2Fb438ff25ef8926f2de3196145b0e7ba23ecf6e62.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,24.99,shorts
Sweatshorts,"Short, lightweight sweatshorts. Elasticized waistband with drawstring, side pockets, and rounded hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe6%2Fe1%2Fe6e1d9c2cf39601bfb184f0d163852634f739fb9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light pink,12.99,shorts
Tie-belt Shorts,"Shorts in woven fabric. High waist with pleats at front, elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Removable tie belt. Side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4e%2Fdd%2F4edd7c6d756e4b6a69ecaaaa32f78f13260dfcb5.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],White/lemons,24.99,shorts
Shorts High Waist,"Shorts in superstretch twill with a high waist. Zip fly with button, back pockets, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ffb%2F15%2Ffb1548e791918391737dfffc644b52e348b6a7cd.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light blue,17.99,shorts
Tie-belt Twill Shorts,"Shorts in cotton twill with a high waist and removable tie belt. Zip fly with button, patch front pockets, and open back pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa8%2F8a%2Fa88abf8aefdcd2d29ae456335521dff5e80bc331.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,17.99,shorts
Cotton Jersey Cycling Shorts,Cycling shorts in stretch cotton jersey with an elasticized waistband.,//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff6%2F51%2Ff651eae705ff0f93cdac672b91cb57b3377bcfd2.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light gray melange,9.99,shorts
Crinkled Shorts,"Shorts in woven, crinkled viscose fabric. High waist with covered, elasticized waistband, decorative ties at front, and narrow ruffle trim at top.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fcd%2F07%2Fcd078c4ab6ce5ff486a371dd519a912330097a23.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,17.99,shorts
Wide-cut Shorts,"Shorts in airy, woven viscose fabric. High waist, wide elasticized waistband, and short, wide legs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc4%2F3d%2Fc43dfe6dba284581c5d354b7963f759569c3e819.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
